"year","statefip","age","sex","empstat","educ","wkswork1","uhrsworkly","incwage"
2000,"michigan",32,"male","at work","some college but no degree",52,52,65000
2010,"ohio",27,"male","at work","bachelor's degree",52,39,51000
2000,"texas",23,"male","at work","high school diploma or equivalent",52,40,12000
2017,"ohio",60,"female","at work","high school diploma or equivalent",52,40,45000
2010,"maryland",45,"female","at work","some college but no degree",52,40,45000
2000,"texas",32,"female","at work","some college but no degree",52,40,37000
2017,"michigan",24,"male","at work","high school diploma or equivalent",40,40,12000
2017,"michigan",55,"female","at work","high school diploma or equivalent",52,24,11000
2000,"california",40,"male","at work","high school diploma or equivalent",52,40,28080
2017,"alabama",55,"male","at work","bachelor's degree",52,40,45000
2010,"michigan",45,"male","at work","some college but no degree",52,38,14000
2000,"florida",50,"male","at work","bachelor's degree",52,35,24800
2017,"california",37,"male","at work","high school diploma or equivalent",52,40,42000
2017,"ohio",31,"female","at work","bachelor's degree",52,45,80000
2017,"california",28,"female","nilf, other","high school diploma or equivalent",1,26,160
2010,"texas",29,"female","at work","high school diploma or equivalent",52,52,1800
2000,"new mexico",34,"female","at work","professional school degree",52,95,35000
2010,"texas",30,"male","at work","bachelor's degree",52,60,46000
2017,"maryland",62,"male","at work","high school diploma or equivalent",52,30,45000
2010,"new hampshire",43,"female","at work","some college but no degree",52,40,27200
2017,"michigan",27,"male","at work","doctorate degree",52,40,75000
2000,"indiana",27,"male","at work","grade 11",44,40,43000
2000,"new hampshire",48,"female","has job, not at work last week","master's degree",52,38,36000
2000,"arkansas",51,"female","at work","high school diploma or equivalent",52,40,47000
2010,"north carolina",39,"female","at work","high school diploma or equivalent",52,40,30000
2017,"louisiana",45,"male","at work","master's degree",30,50,100000
2000,"iowa",26,"male","at work","grade 11",52,40,14560
2010,"delaware",35,"male","at work","high school diploma or equivalent",52,40,27000
2000,"nevada",28,"female","at work","high school diploma or equivalent",52,40,21500
2010,"florida",22,"female","at work","high school diploma or equivalent",52,40,25000
2017,"maryland",47,"male","at work","high school diploma or equivalent",52,57,72699
2010,"california",33,"female","at work","bachelor's degree",40,35,35000
2017,"oregon",58,"male","at work","some college but no degree",52,60,120000
2017,"ohio",58,"male","has job, not at work last week","high school diploma or equivalent",52,40,60000
2000,"alaska",26,"male","at work","bachelor's degree",52,25,8783
2017,"texas",45,"male","at work","master's degree",52,40,125000
2000,"colorado",43,"female","at work","some college but no degree",52,40,75000
2000,"illinois",41,"female","has job, not at work last week","bachelor's degree",52,45,93000
2000,"new york",51,"female","at work","associate's degree, academic program",52,40,34000
2017,"new mexico",52,"male","at work","associate's degree, occupational/vocational program",52,40,55000
2017,"arizona",42,"male","at work","some college but no degree",20,55,18000
2010,"connecticut",26,"female","at work","bachelor's degree",52,40,31000
2010,"idaho",62,"female","at work","master's degree",52,40,65000
2017,"new york",25,"male","at work","associate's degree, academic program",52,40,21400
2000,"missouri",18,"female","nilf, other","grade 10",21,20,1700
2017,"texas",42,"male","at work","some college but no degree",52,40,36800
2010,"michigan",47,"male","at work","bachelor's degree",52,60,25000
2000,"tennessee",64,"female","nilf, retired","grade 11",52,40,17160
2017,"pennsylvania",31,"male","at work","high school diploma or equivalent",52,40,34000
2000,"kentucky",40,"female","at work","some college but no degree",52,45,27000
2017,"florida",43,"male","at work","bachelor's degree",52,52,40000
2010,"delaware",21,"male","at work","grade 9",50,50,18000
2010,"nebraska",41,"female","nilf, other","high school diploma or equivalent",8,20,1200
2017,"wisconsin",21,"female","unemployed, experienced worker","some college but no degree",52,40,12000
2010,"colorado",18,"female","nilf, other","grade 11",8,20,180
2017,"maryland",47,"female","at work","grade 10",52,40,20000
2000,"texas",42,"female","at work","bachelor's degree",30,35,30000
2017,"new mexico",35,"female","at work","high school diploma or equivalent",52,40,17000
2000,"idaho",36,"female","at work","grades 7 or 8",30,40,1600
2010,"pennsylvania",48,"male","at work","associate's degree, occupational/vocational program",52,40,40000
2017,"minnesota",42,"female","at work","high school diploma or equivalent",14,2,182
2000,"wyoming",37,"male","at work","bachelor's degree",32,40,7244
2010,"connecticut",31,"male","at work","high school diploma or equivalent",46,40,51000
2010,"texas",55,"male","at work","high school diploma or equivalent",52,40,72167
2000,"new york",28,"female","unemployed, experienced worker","high school diploma or equivalent",49,40,40000
2010,"arkansas",46,"male","at work","bachelor's degree",52,40,35000
2010,"ohio",26,"male","at work","high school diploma or equivalent",52,70,35000
2000,"georgia",36,"female","nilf, other","some college but no degree",52,40,19000
2010,"kansas",38,"male","at work","bachelor's degree",52,45,60000
2010,"minnesota",40,"male","unemployed, experienced worker","bachelor's degree",52,40,115000
2010,"michigan",34,"female","at work","high school diploma or equivalent",52,36,30000
2017,"alabama",34,"male","at work","associate's degree, academic program",52,40,80000
2000,"new mexico",23,"male","at work","some college but no degree",52,35,20000
2010,"new york",57,"male","at work","high school diploma or equivalent",52,40,75000
2017,"arizona",33,"male","at work","high school diploma or equivalent",52,30,35000
2000,"ohio",39,"male","at work","bachelor's degree",52,45,65000
2010,"south dakota",28,"female","at work","high school diploma or equivalent",42,40,24900
2010,"texas",25,"male","at work","some college but no degree",52,40,25000
2010,"utah",25,"female","at work","some college but no degree",52,36,40000
2017,"wyoming",60,"male","at work","high school diploma or equivalent",52,52,67000
2010,"california",42,"female","at work","high school diploma or equivalent",52,25,35000
2010,"new york",40,"male","unemployed, experienced worker","high school diploma or equivalent",7,45,5600
2017,"district of columbia",45,"male","at work","master's degree",52,40,100000
2010,"nebraska",41,"female","at work","high school diploma or equivalent",12,25,2500
2000,"washington",36,"male","at work","professional school degree",52,80,175037
2017,"kansas",58,"female","nilf, retired","bachelor's degree",52,36,48000
2010,"florida",24,"female","at work","high school diploma or equivalent",52,40,25000
2010,"california",32,"female","at work","some college but no degree",52,40,35000
2010,"michigan",44,"female","at work","associate's degree, academic program",52,20,45000
2017,"new mexico",31,"female","at work","some college but no degree",16,30,6000
2017,"illinois",53,"male","unemployed, experienced worker","grade 11",52,40,36000
2000,"california",29,"male","at work","associate's degree, occupational/vocational program",52,44,41700
2000,"idaho",46,"female","at work","bachelor's degree",40,16,9000
2000,"virginia",47,"female","at work","high school diploma or equivalent",52,40,35000
2010,"new hampshire",48,"female","at work","high school diploma or equivalent",52,52,30000
2000,"new york",22,"male","nilf, other","some college but no degree",8,25,1200
2000,"georgia",26,"male","at work","bachelor's degree",52,40,29000
2010,"oregon",62,"female","nilf, retired","some college but no degree",52,24,22000
2000,"washington",59,"male","at work","grades 1, 2, 3, or 4",52,40,26000
2017,"iowa",45,"male","has job, not at work last week","bachelor's degree",52,45,130000
2010,"virginia",39,"male","at work","doctorate degree",52,53,200000
2000,"michigan",47,"male","at work","associate's degree, academic program",26,40,43000
2000,"minnesota",19,"female","nilf, other","high school diploma or equivalent",20,16,5000
2000,"mississippi",20,"male","at work","some college but no degree",52,40,17000
2010,"new hampshire",51,"female","at work","bachelor's degree",52,40,44000
2017,"arkansas",31,"female","at work","high school diploma or equivalent",48,35,4800
2017,"kentucky",48,"male","at work","some college but no degree",52,40,30800
2010,"texas",24,"female","unemployed, experienced worker","high school diploma or equivalent",26,30,15000
2000,"hawaii",51,"female","at work","bachelor's degree",52,55,63468
2017,"texas",38,"female","at work","bachelor's degree",52,40,100000
2017,"washington",55,"female","at work","bachelor's degree",52,40,45000
2017,"maryland",42,"male","at work","some college but no degree",52,40,65000
2000,"alabama",51,"female","at work","master's degree",52,40,43000
2010,"minnesota",20,"female","at work","associate's degree, academic program",52,32,17000
2000,"oregon",36,"male","at work","high school diploma or equivalent",52,40,38000
2010,"illinois",46,"male","at work","master's degree",52,40,100000
2017,"minnesota",55,"female","at work","bachelor's degree",52,8,24000
2017,"florida",31,"female","at work","high school diploma or equivalent",52,50,60000
2017,"california",33,"female","at work","high school diploma or equivalent",52,45,50000
2017,"indiana",31,"female","at work","some college but no degree",35,38,10000
2017,"new york",40,"male","at work","bachelor's degree",52,40,50000
2017,"new york",26,"female","at work","some college but no degree",51,40,24000
2000,"pennsylvania",56,"male","at work","high school diploma or equivalent",40,40,34000
2017,"new hampshire",46,"male","at work","master's degree",52,40,60000
2017,"oklahoma",30,"male","unemployed, experienced worker","grade 11",52,40,16000
2010,"hawaii",41,"female","at work","some college but no degree",52,40,13000
2010,"connecticut",33,"female","at work","associate's degree, occupational/vocational program",52,80,50000
2017,"florida",33,"female","at work","bachelor's degree",52,36,50000
2017,"colorado",24,"female","at work","high school diploma or equivalent",52,40,30000
2010,"california",56,"female","at work","high school diploma or equivalent",52,32,20400
2017,"hawaii",42,"male","at work","grades 1, 2, 3, or 4",52,40,31001
2010,"florida",36,"female","nilf, other","grade 10",12,40,4000
2017,"alaska",44,"female","at work","some college but no degree",52,45,57145
2010,"west virginia",55,"male","at work","associate's degree, occupational/vocational program",52,48,52000
2010,"kansas",31,"female","unemployed, experienced worker","associate's degree, occupational/vocational program",25,35,9000
2000,"district of columbia",40,"female","unemployed, experienced worker","high school diploma or equivalent",8,30,4080
2010,"vermont",37,"female","at work","bachelor's degree",52,40,62000
2000,"new jersey",19,"female","at work","some college but no degree",52,40,10272
2010,"new york",25,"female","at work","master's degree",52,50,88000
2000,"west virginia",48,"male","at work","high school diploma or equivalent",52,40,38000
2000,"michigan",36,"female","at work","grade 11",30,20,3460
2010,"alaska",28,"male","at work","bachelor's degree",52,40,80000
2017,"colorado",24,"female","at work","bachelor's degree",30,25,15000
2010,"wyoming",42,"male","at work","some college but no degree",52,40,40000
2000,"texas",22,"male","at work","high school diploma or equivalent",52,40,13000
2000,"california",26,"female","at work","grade 11",52,40,20000
2000,"tennessee",61,"male","has job, not at work last week","high school diploma or equivalent",52,38,22000
2010,"georgia",39,"male","at work","associate's degree, occupational/vocational program",52,50,50000
2010,"texas",45,"male","at work","grades 7 or 8",36,30,7500
2010,"arizona",51,"male","at work","high school diploma or equivalent",52,40,65000
2017,"ohio",31,"female","at work","high school diploma or equivalent",52,40,30000
2010,"connecticut",32,"female","at work","master's degree",52,24,20000
2000,"delaware",29,"female","at work","associate's degree, occupational/vocational program",48,40,28000
2010,"washington",25,"male","at work","bachelor's degree",26,16,3000
2017,"wyoming",41,"female","at work","bachelor's degree",35,40,11000
2017,"california",31,"male","at work","bachelor's degree",52,12,10000
2010,"wisconsin",40,"female","unemployed, experienced worker","some college but no degree",52,55,24000
2010,"colorado",34,"female","at work","grade 9",52,40,20000
2017,"louisiana",29,"male","at work","bachelor's degree",52,40,97000
2017,"california",23,"male","at work","high school diploma or equivalent",52,38,22000
2010,"oregon",35,"male","at work","associate's degree, occupational/vocational program",52,40,15000
2010,"south dakota",35,"female","at work","bachelor's degree",52,40,46000
2010,"missouri",58,"female","at work","bachelor's degree",52,9,4073
2017,"illinois",55,"male","at work","high school diploma or equivalent",52,40,55000
2000,"virginia",48,"female","has job, not at work last week","high school diploma or equivalent",52,37,35000
2010,"north carolina",35,"female","at work","associate's degree, occupational/vocational program",48,17,6000
2010,"ohio",39,"male","at work","bachelor's degree",52,50,100000
2010,"idaho",31,"male","at work","some college but no degree",52,65,30000
2010,"texas",19,"female","at work","some college but no degree",20,20,3761
2017,"ohio",46,"female","at work","associate's degree, occupational/vocational program",52,40,25000
2017,"alaska",56,"male","has job, not at work last week","bachelor's degree",52,40,80000
2000,"south carolina",45,"male","at work","high school diploma or equivalent",52,44,63000
2010,"california",50,"female","at work","professional school degree",52,28,110000
2010,"michigan",44,"male","at work","high school diploma or equivalent",52,40,33000
2010,"minnesota",29,"female","at work","high school diploma or equivalent",52,52,23696
2010,"west virginia",31,"female","at work","some college but no degree",52,40,16000
2017,"colorado",41,"female","at work","master's degree",52,50,50000
2000,"texas",54,"male","at work","grade 10",46,40,18800
2017,"georgia",61,"male","at work","bachelor's degree",52,40,35360
2010,"delaware",38,"male","at work","grade 10",52,45,16500
2010,"iowa",21,"male","at work","high school diploma or equivalent",52,40,19000
2010,"texas",35,"male","at work","high school diploma or equivalent",52,40,30000
2017,"north dakota",45,"female","at work","associate's degree, academic program",40,40,27000
2017,"california",24,"male","has job, not at work last week","12th grade, no diploma",52,16,24000
2010,"florida",54,"male","at work","bachelor's degree",28,60,7000
2010,"colorado",27,"female","at work","associate's degree, academic program",12,36,3745
2010,"illinois",60,"male","at work","grades 5 or 6",52,40,38000
2010,"oregon",45,"male","at work","high school diploma or equivalent",52,60,70000
2017,"texas",34,"female","at work","some college but no degree",52,40,20000
2017,"new york",42,"male","at work","bachelor's degree",52,45,95000
2010,"illinois",50,"female","at work","doctorate degree",47,45,41000
2017,"west virginia",35,"female","at work","some college but no degree",52,2,4000
2010,"indiana",51,"male","unemployed, experienced worker","high school diploma or equivalent",39,40,19500
2000,"tennessee",37,"male","at work","bachelor's degree",52,50,52000
2000,"vermont",31,"male","at work","high school diploma or equivalent",52,40,25000
2010,"nevada",60,"male","at work","grades 5 or 6",33,30,20000
2000,"michigan",36,"male","at work","high school diploma or equivalent",26,40,5720
2010,"wisconsin",63,"male","at work","some college but no degree",52,35,24000
2010,"california",51,"female","at work","high school diploma or equivalent",52,60,51000
2010,"nebraska",49,"male","at work","bachelor's degree",52,50,20000
2000,"new york",47,"male","at work","associate's degree, academic program",52,40,24000
2017,"virginia",43,"female","has job, not at work last week","high school diploma or equivalent",42,40,48304
2010,"new york",51,"male","unemployed, experienced worker","high school diploma or equivalent",4,40,2000
2017,"virginia",55,"female","at work","bachelor's degree",52,40,60000
2017,"new hampshire",48,"male","at work","master's degree",52,50,550000
2017,"texas",26,"female","at work","high school diploma or equivalent",52,35,40000
2010,"new mexico",45,"female","at work","12th grade, no diploma",52,20,10000
2010,"california",59,"female","at work","some college but no degree",46,20,9000
2010,"minnesota",29,"male","at work","high school diploma or equivalent",52,28,12000
2010,"north dakota",36,"male","at work","associate's degree, occupational/vocational program",52,40,409068
2017,"ohio",20,"female","at work","high school diploma or equivalent",52,10,20700
2017,"florida",55,"male","at work","associate's degree, academic program",52,40,98000
2000,"new jersey",43,"male","at work","some college but no degree",52,50,81000
2000,"illinois",43,"female","at work","associate's degree, occupational/vocational program",52,40,24345
2017,"washington",48,"male","at work","master's degree",52,50,100000
2010,"south dakota",47,"male","at work","high school diploma or equivalent",48,40,50000
2000,"florida",36,"female","at work","master's degree",52,40,50000
2010,"alabama",60,"female","at work","high school diploma or equivalent",52,35,16000
2017,"alaska",37,"male","armed forces","some college but no degree",52,40,37500
2010,"georgia",54,"female","at work","some college but no degree",52,40,35000
2017,"idaho",28,"male","at work","bachelor's degree",52,50,74500
2010,"delaware",23,"male","at work","grade 11",52,30,10000
2017,"new jersey",47,"male","at work","high school diploma or equivalent",52,40,50000
2017,"texas",18,"female","at work","grade 11",52,45,20000
2010,"texas",35,"female","at work","some college but no degree",35,40,111422
2010,"rhode island",28,"male","unemployed, experienced worker","some college but no degree",45,40,17000
2017,"oregon",26,"female","at work","bachelor's degree",52,20,14000
2010,"delaware",47,"male","at work","associate's degree, occupational/vocational program",52,50,82000
2017,"texas",64,"female","at work","grade 9",52,34,17000
2017,"new mexico",48,"male","at work","high school diploma or equivalent",52,40,100000
2010,"california",29,"female","at work","grades 7 or 8",52,39,13000
2000,"california",44,"male","at work","bachelor's degree",52,40,46000
2000,"idaho",48,"male","unemployed, experienced worker","associate's degree, occupational/vocational program",52,40,17000
2017,"new york",56,"male","at work","bachelor's degree",52,40,220000
2017,"delaware",62,"male","at work","high school diploma or equivalent",52,45,140000
2017,"texas",64,"male","at work","master's degree",38,40,100000
2017,"new york",39,"female","nilf, unable to work","high school diploma or equivalent",26,20,15000
2000,"georgia",41,"male","at work","high school diploma or equivalent",52,50,43000
2010,"maryland",46,"female","at work","some college but no degree",52,40,36000
2010,"maryland",26,"female","at work","high school diploma or equivalent",52,40,28000
2017,"new jersey",45,"male","at work","high school diploma or equivalent",52,40,85000
2010,"washington",43,"female","at work","grade 10",52,30,19000
2010,"illinois",41,"female","at work","high school diploma or equivalent",52,40,30000
2000,"arizona",64,"male","at work","high school diploma or equivalent",52,40,27000
2010,"oregon",35,"male","at work","bachelor's degree",52,34,36000
2010,"minnesota",31,"female","at work","associate's degree, occupational/vocational program",52,40,100000
2010,"washington",44,"female","at work","associate's degree, occupational/vocational program",52,40,30000
2017,"louisiana",52,"male","at work","high school diploma or equivalent",52,40,45000
2000,"virginia",21,"male","at work","some college but no degree",52,20,8000
2010,"texas",43,"female","armed forces","bachelor's degree",52,40,60000
2010,"maine",29,"female","unemployed, experienced worker","high school diploma or equivalent",28,40,24000
2017,"iowa",31,"female","at work","associate's degree, occupational/vocational program",52,40,32000
2017,"wyoming",58,"female","nilf, retired","some college but no degree",52,40,21000
2000,"new jersey",38,"male","at work","high school diploma or equivalent",52,45,30000
2010,"ohio",63,"female","at work","high school diploma or equivalent",52,40,40000
2000,"texas",29,"male","at work","high school diploma or equivalent",52,40,20000
2017,"louisiana",32,"male","at work","high school diploma or equivalent",52,35,22000
2017,"arkansas",20,"female","nilf, other","some college but no degree",10,10,1153
2000,"new york",54,"male","at work","high school diploma or equivalent",52,40,53000
2000,"michigan",38,"male","at work","bachelor's degree",52,37,40500
2000,"montana",50,"male","at work","bachelor's degree",52,48,67000
2010,"connecticut",28,"female","at work","some college but no degree",52,32,20000
2000,"pennsylvania",30,"male","unemployed, experienced worker","high school diploma or equivalent",52,55,9600
2000,"texas",51,"male","at work","some college but no degree",40,40,10188
2010,"california",46,"male","at work","associate's degree, academic program",52,30,30000
2010,"california",52,"male","at work","some college but no degree",52,46,26000
2017,"new york",53,"female","at work","high school diploma or equivalent",52,40,82000
2010,"wisconsin",18,"female","at work","grade 11",52,15,1500
2000,"california",34,"male","at work","some college but no degree",52,40,70000
2017,"tennessee",27,"male","at work","high school diploma or equivalent",52,40,20000
2010,"new york",43,"male","at work","grades 5 or 6",52,40,26000
2017,"idaho",40,"female","at work","some college but no degree",52,40,16000
2017,"california",38,"male","at work","high school diploma or equivalent",52,40,52000
2017,"tennessee",39,"female","at work","grade 9",50,60,30000
2010,"alaska",58,"female","at work","12th grade, no diploma",52,40,19000
2000,"delaware",43,"male","has job, not at work last week","some college but no degree",52,70,50000
2000,"wisconsin",62,"female","at work","some college but no degree",52,40,50000
2017,"kansas",18,"male","at work","some college but no degree",50,25,15000
2010,"texas",49,"female","at work","high school diploma or equivalent",52,40,22000
2000,"new jersey",49,"female","at work","grades 7 or 8",39,40,4000
2010,"wisconsin",34,"male","at work","high school diploma or equivalent",52,60,20000
2017,"tennessee",53,"female","at work","bachelor's degree",44,55,40000
2017,"idaho",53,"male","at work","bachelor's degree",52,40,50000
2010,"delaware",35,"male","at work","some college but no degree",52,70,60000
2000,"maine",50,"male","at work","bachelor's degree",52,50,105000
2000,"south carolina",44,"male","at work","doctorate degree",52,50,60000
2000,"north carolina",59,"male","at work","high school diploma or equivalent",52,50,65000
2017,"california",35,"male","at work","high school diploma or equivalent",50,40,90000
2017,"illinois",22,"female","nilf, other","some college but no degree",10,30,1726
2010,"maryland",26,"female","has job, not at work last week","some college but no degree",52,40,32000
2017,"new jersey",50,"female","at work","some college but no degree",52,40,36000
2010,"florida",31,"female","at work","bachelor's degree",52,40,25000
2010,"missouri",57,"female","nilf, other","bachelor's degree",52,15,6000
2000,"colorado",47,"female","at work","master's degree",52,48,43000
2017,"oregon",40,"male","at work","bachelor's degree",52,50,200000
2010,"idaho",32,"female","at work","associate's degree, occupational/vocational program",52,36,30000
2017,"oklahoma",22,"female","at work","some college but no degree",52,40,28000
2017,"new york",46,"female","at work","some college but no degree",52,40,120000
2017,"idaho",31,"male","at work","high school diploma or equivalent",50,40,16000
2010,"wisconsin",33,"male","at work","master's degree",52,40,68000
2017,"connecticut",63,"female","at work","bachelor's degree",52,35,33000
2000,"wyoming",47,"male","at work","high school diploma or equivalent",52,60,69000
2000,"north carolina",23,"male","at work","high school diploma or equivalent",52,40,15000
2017,"washington",59,"male","at work","master's degree",52,40,60000
2000,"california",41,"male","at work","some college but no degree",52,40,45000
2017,"california",38,"male","at work","bachelor's degree",52,40,130000
2000,"pennsylvania",36,"female","at work","12th grade, no diploma",52,40,9000
2017,"new york",42,"male","at work","some college but no degree",52,45,40000
2010,"illinois",21,"female","at work","grade 11",30,40,9201
2010,"new jersey",55,"female","at work","grade 10",52,40,40000
2017,"new york",56,"female","at work","bachelor's degree",52,40,56000
2010,"virginia",28,"male","armed forces","master's degree",52,50,35000
2010,"north carolina",61,"female","at work","high school diploma or equivalent",52,40,20000
2010,"north carolina",32,"female","at work","grade 10",52,40,28000
2017,"washington",27,"female","at work","associate's degree, occupational/vocational program",52,40,36000
2010,"south carolina",43,"male","at work","associate's degree, academic program",52,70,70002
2000,"new mexico",31,"male","unemployed, experienced worker","grade 10",32,40,16000
2010,"rhode island",39,"male","at work","bachelor's degree",52,58,75000
2017,"pennsylvania",52,"female","at work","some college but no degree",52,40,100000
2017,"california",49,"male","at work","12th grade, no diploma",52,40,80000
2017,"california",41,"female","at work","high school diploma or equivalent",48,50,45000
2000,"texas",33,"male","has job, not at work last week","associate's degree, academic program",52,40,20800
2000,"new mexico",26,"male","at work","some college but no degree",26,40,255625
2000,"virginia",35,"female","at work","bachelor's degree",52,52,49000
2010,"hawaii",25,"female","unemployed, experienced worker","high school diploma or equivalent",28,30,24000
2010,"new hampshire",51,"male","at work","high school diploma or equivalent",52,40,105000
2000,"oregon",36,"male","at work","some college but no degree",45,44,35949
2010,"texas",47,"female","at work","bachelor's degree",52,44,120000
2000,"alabama",52,"male","at work","grade 10",52,70,40690
2010,"texas",52,"male","at work","high school diploma or equivalent",28,40,10002
2000,"massachusetts",30,"female","at work","master's degree",52,40,46825
2000,"district of columbia",31,"male","at work","master's degree",52,45,96000
2010,"north dakota",33,"female","at work","bachelor's degree",36,40,15000
2017,"michigan",36,"female","at work","professional school degree",52,40,100000
2010,"nebraska",48,"male","at work","high school diploma or equivalent",52,40,90000
2010,"virginia",35,"male","at work","bachelor's degree",52,50,94000
2017,"rhode island",29,"male","at work","high school diploma or equivalent",52,40,30000
2017,"ohio",48,"female","at work","high school diploma or equivalent",52,40,42000
2017,"new york",31,"female","at work","high school diploma or equivalent",52,40,20000
2000,"california",21,"female","at work","some college but no degree",52,32,10400
2017,"alaska",48,"male","at work","bachelor's degree",52,50,110000
2010,"iowa",44,"male","at work","high school diploma or equivalent",52,25,7500
2017,"illinois",38,"male","at work","high school diploma or equivalent",52,20,4800
2000,"georgia",61,"male","at work","high school diploma or equivalent",52,40,82624
2010,"washington",42,"male","at work","associate's degree, occupational/vocational program",52,40,86000
2017,"florida",25,"female","at work","high school diploma or equivalent",44,40,20000
2017,"delaware",39,"female","at work","master's degree",52,38,65000
2010,"missouri",38,"male","at work","bachelor's degree",52,50,65000
2010,"alaska",34,"male","at work","high school diploma or equivalent",52,29,25000
2017,"minnesota",20,"female","nilf, other","associate's degree, academic program",11,38,4200
2000,"wisconsin",59,"male","unemployed, experienced worker","high school diploma or equivalent",42,40,14700
2010,"california",26,"male","at work","high school diploma or equivalent",52,40,29500
2010,"tennessee",60,"female","at work","doctorate degree",52,40,13002
2000,"delaware",43,"female","at work","associate's degree, academic program",52,40,36000
2010,"maryland",33,"female","at work","bachelor's degree",52,40,36000
2000,"florida",48,"male","at work","high school diploma or equivalent",52,40,40000
2017,"florida",39,"male","at work","high school diploma or equivalent",52,40,50000
2010,"maryland",39,"female","at work","master's degree",52,40,65000
2017,"virginia",32,"female","at work","high school diploma or equivalent",52,40,28002
2010,"texas",19,"male","at work","high school diploma or equivalent",26,30,6000
2017,"pennsylvania",46,"male","at work","master's degree",52,38,45000
2017,"florida",21,"male","at work","some college but no degree",48,30,15000
2017,"arkansas",22,"male","at work","bachelor's degree",52,30,39000
2010,"california",38,"male","at work","grades 5 or 6",52,40,38000
2000,"michigan",39,"male","at work","high school diploma or equivalent",10,40,12000
2017,"virginia",45,"female","at work","12th grade, no diploma",52,40,15000
2000,"wisconsin",26,"male","at work","high school diploma or equivalent",52,40,27000
2000,"district of columbia",44,"female","at work","high school diploma or equivalent",52,52,13000
2017,"california",35,"female","at work","master's degree",46,32,30000
2000,"california",43,"female","at work","high school diploma or equivalent",52,10,4800
2017,"delaware",56,"male","at work","some college but no degree",52,50,85000
2000,"new hampshire",41,"male","at work","master's degree",52,40,51000
2010,"nevada",26,"male","at work","some college but no degree",52,70,28500
2010,"michigan",62,"male","at work","high school diploma or equivalent",52,40,59000
2000,"new york",60,"male","has job, not at work last week","doctorate degree",52,40,60000
2000,"arizona",26,"female","nilf, other","high school diploma or equivalent",36,40,2000
2010,"wyoming",41,"male","at work","some college but no degree",52,40,38000
2010,"wisconsin",46,"male","at work","associate's degree, occupational/vocational program",52,40,58000
2017,"maine",63,"female","at work","high school diploma or equivalent",52,40,30000
2010,"california",57,"female","at work","some college but no degree",52,40,65000
2010,"connecticut",40,"female","at work","grade 10",52,35,35000
2017,"california",58,"male","at work","some college but no degree",50,40,65000
2010,"massachusetts",29,"female","at work","high school diploma or equivalent",52,40,29120
2010,"florida",53,"male","at work","some college but no degree",52,40,75000
2017,"maryland",30,"female","at work","master's degree",52,40,122000
2010,"new hampshire",27,"male","at work","bachelor's degree",52,45,9300
2017,"nevada",37,"male","at work","bachelor's degree",52,40,118500
2010,"texas",25,"female","at work","some college but no degree",52,40,55000
2010,"oklahoma",57,"male","at work","high school diploma or equivalent",52,60,60000
2017,"california",33,"male","at work","high school diploma or equivalent",52,40,50000
2010,"north carolina",20,"male","at work","some college but no degree",52,25,6200
2000,"idaho",33,"female","nilf, other","grade 11",52,40,18000
2000,"texas",24,"male","at work","high school diploma or equivalent",52,50,27000
2010,"ohio",56,"female","at work","associate's degree, occupational/vocational program",30,15,7500
2017,"maryland",41,"male","at work","bachelor's degree",52,50,90000
2010,"colorado",38,"female","at work","some college but no degree",52,35,45700
2010,"texas",53,"female","nilf, other","master's degree",52,40,30000
2010,"oklahoma",46,"female","at work","some college but no degree",52,45,433605
2017,"nevada",38,"male","at work","some college but no degree",52,40,30600
2000,"california",46,"male","at work","bachelor's degree",52,60,60000
2000,"colorado",42,"male","at work","high school diploma or equivalent",52,40,35000
2017,"new york",39,"female","at work","associate's degree, occupational/vocational program",52,40,21168
2017,"connecticut",31,"female","at work","bachelor's degree",52,40,122000
2010,"georgia",50,"male","at work","some college but no degree",20,32,28000
2017,"illinois",53,"male","nilf, unable to work","some college but no degree",26,40,50000
2000,"georgia",23,"female","at work","high school diploma or equivalent",46,45,27000
2010,"new york",45,"female","at work","bachelor's degree",52,40,71410
2010,"minnesota",47,"male","unemployed, experienced worker","grade 11",48,35,20000
2000,"texas",40,"male","at work","12th grade, no diploma",39,40,10500
2017,"california",52,"male","at work","high school diploma or equivalent",52,40,50000
2000,"ohio",20,"female","nilf, unable to work","high school diploma or equivalent",6,40,1500
2010,"new york",60,"female","at work","high school diploma or equivalent",52,34,26000
2017,"alaska",21,"female","at work","some college but no degree",52,54,25000
2000,"missouri",61,"male","at work","high school diploma or equivalent",52,40,37003
2000,"florida",53,"male","at work","master's degree",44,50,90000
2000,"rhode island",47,"female","at work","high school diploma or equivalent",52,35,17000
2000,"north carolina",23,"female","at work","high school diploma or equivalent",48,25,4400
2017,"montana",37,"female","at work","bachelor's degree",52,40,40000
2000,"kansas",54,"female","at work","professional school degree",52,40,48136
2010,"california",30,"male","at work","associate's degree, academic program",52,40,52000
2000,"new york",20,"female","nilf, other","some college but no degree",8,40,4000
2010,"alaska",54,"female","at work","bachelor's degree",52,50,60000
2010,"arizona",40,"female","nilf, other","high school diploma or equivalent",10,5,250
2017,"south dakota",36,"female","at work","associate's degree, academic program",52,40,34000
2000,"connecticut",58,"female","nilf, other","grade 11",2,40,584
2010,"nevada",24,"female","at work","some college but no degree",52,40,30000
2010,"north carolina",20,"male","nilf, other","high school diploma or equivalent",12,40,20000
